[2026-06-02T00:30:25.393Z] GET https://fonts.googleapis.com/css2?family=Press+Start+2P&family=DM+Sans:opsz,wght@9..40,300;9..40,400;9..40,500;9..40,600;9..40,700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (2ms, -743B)
[2026-06-02T00:30:25.396Z] GET https://seunegociofralib.site/images/Logo%20FraLib.png → 200 (75ms, 83024B)
[2026-06-02T00:30:25.396Z] GET https://seunegociofralib.site/images/Mestre%20Fralib%20-%20Mago%20da%20IA.png → 200 (75ms, ?B)
[2026-06-02T00:30:25.439Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHQ.woff2 → pending (?ms, ?B)
[2026-06-02T00:30:25.440Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → pending (?ms, ?B)
[2026-06-02T00:30:25.441Z] GET https://fonts.gstatic.com/s/pressstart2p/v16/e3t4euO8T-267oIAQAu6jDQyK3nVivM.woff2 → pending (?ms, ?B)
[2026-06-02T00:30:49.893Z] GET https://seunegociofralib.site/sites/2/oticas-multivisao/ → 200 (4ms, -277B)
[2026-06-02T00:30:49.915Z] GET https://cdn.tailwindcss.com/ → 200 (8ms, -750B)
[2026-06-02T00:30:49.923Z] GET https://fonts.googleapis.com/css2?family=Anton&family=Cormorant+Garamond:wght@500;700&family=Outfit:wght@300;400;500;700;900&display=swap → 200 (?ms, -743B)
[2026-06-02T00:30:49.924Z] GET https://cdn.jsdelivr.net/npm/gsap@3.12.5/dist/gsap.min.js → 200 (?ms, -1124B)
[2026-06-02T00:30:49.925Z] GET https://cdn.jsdelivr.net/npm/gsap@3.12.5/dist/ScrollTrigger.min.js → 200 (?ms, -1130B)
[2026-06-02T00:30:49.925Z] GET https://cdn.jsdelivr.net/npm/@studio-freight/lenis@1.0.42/dist/lenis.min.js → 200 (1ms, -1133B)
[2026-06-02T00:30:49.926Z] GET https://images.unsplash.com/photo-1596049690278-8fa153fd4382?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MDEyMjl8MHwxfHNlYXJjaHwyfHxnbGFzc2VzJTIwZnJhbWVzJTIwY2xvc2V1cHxlbnwxfDB8fHwxNzgwMjU2NDQ4fDA&ixlib=rb-4.1.0&q=80&w=1080 → 200 (?ms, -586B)
[2026-06-02T00:30:49.927Z] GET https://images.unsplash.com/photo-1758656321519-02fb5f48dc7e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MDEyMjl8MHwxfHNlYXJjaHwzfHx2aXNpb24lMjBjYXJlJTIwcHJvZmVzc2lvbmFsfGVufDF8MHx8fDE3ODAyNTY0NTB8MA&ixlib=rb-4.1.0&q=80&w=1080 → 200 (?ms, -587B)
[2026-06-02T00:30:49.928Z] GET https://images.unsplash.com/photo-1574422282888-4c30455ccdcf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MDEyMjl8MHwxfHNlYXJjaHwxfHxnbGFzc2VzJTIwZnJhbWVzJTIwY2xvc2V1cHxlbnwxfDB8fHwxNzgwMjU2NDQ4fDA&ixlib=rb-4.1.0&q=80&w=1080 → 200 (4ms, -586B)
